event_name,overlap_pct,beta_center,lambda_center,erass_number,observation_time_center_utc,time_relative_to_gw_detection,observation_time_window,overlap_pixels,percent_overlap_with_probability_region,galactic_l,ra_center,dec_center,galactic_l_center,galactic_b_center
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 16:42:07.639,+210d 10h 51m 6.6s,65.27359000728532d,111290,0.06043,328.43797542799325,230.93403554644405,-46.37411117736257,328.4357308910968,8.818948567556596
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 20:42:07.639,+210d 14h 51m 6.6s,65.27359000728532d,111290,0.06043,328.43797542799325,230.93403554644405,-46.37411117736257,328.4357308910968,8.818948567556596
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-14 00:42:07.639,+210d 18h 51m 6.6s,65.27359000728532d,111290,0.06043,328.43797542799325,230.93403554644405,-46.37411117736257,328.4357308910968,8.818948567556596
GW190828_063405,27.7059,-48.276187,195.857058,eRASS1,2019-12-13 00:27:48.953,+106d 17h 53m 44.0s,359.99436035587286d,103653,0.05629,287.0333826424557,168.515110787285,-49.21386484354992,287.0308390561954,10.627943192103512
GW190828_063405,27.7059,-48.276187,195.857058,eRASS1,2019-12-13 04:27:48.953,+106d 21h 53m 44.0s,359.99436035587286d,103653,0.05629,287.0333826424557,168.515110787285,-49.21386484354992,287.0308390561954,10.627943192103512
GW190828_063405,27.7059,-48.276187,195.857058,eRASS1,2019-12-13 08:27:48.953,+107d 1h 53m 44.0s,359.99436035587286d,103653,0.05629,287.0333826424557,168.515110787285,-49.21386484354992,287.0308390561954,10.627943192103512
GW190828_063405,27.7059,-48.276187,195.857058,eRASS1,2019-12-13 12:27:48.953,+107d 5h 53m 44.0s,359.99436035587286d,103653,0.05629,287.0333826424557,168.515110787285,-49.21386484354992,287.0308390561954,10.627943192103512
GW190828_063405,27.7059,-48.276187,195.857058,eRASS1,2019-12-13 16:27:48.953,+107d 9h 53m 44.0s,359.99436035587286d,103653,0.05629,287.0333826424557,168.515110787285,-49.21386484354992,287.0308390561954,10.627943192103512
GW190828_063405,27.7059,-48.276187,195.857058,eRASS1,2019-12-13 20:27:48.953,+107d 13h 53m 44.0s,359.99436035587286d,103653,0.05629,287.0333826424557,168.515110787285,-49.21386484354992,287.0308390561954,10.627943192103512
GW190828_063405,27.7059,-48.276187,195.857058,eRASS1,2019-12-14 00:27:48.953,+107d 17h 53m 44.0s,359.99436035587286d,103653,0.05629,287.0333826424557,168.515110787285,-49.21386484354992,287.0308390561954,10.627943192103512
GW191204_171526,15.5176,-61.750651,135.813303,eRASS1,2020-06-10 00:18:49.974,+188d 7h 3m 24.0s,119.25724070164489d,105274,0.05717,256.9028552439164,117.45306264854898,-42.60909707649351,256.901390429991,-8.259561966327993
GW191204_171526,15.5176,-61.750651,135.813303,eRASS1,2020-06-10 04:18:49.974,+188d 11h 3m 24.0s,119.25724070164489d,105274,0.05717,256.9028552439164,117.45306264854898,-42.60909707649351,256.901390429991,-8.259561966327993
GW191204_171526,15.5176,-61.750651,135.813303,eRASS1,2020-06-10 08:18:49.974,+188d 15h 3m 24.0s,119.25724070164489d,105274,0.05717,256.9028552439164,117.45306264854898,-42.60909707649351,256.901390429991,-8.259561966327993
GW191204_171526,15.5176,-61.750651,135.813303,eRASS1,2020-06-10 12:18:49.974,+188d 19h 3m 24.0s,119.25724070164489d,105274,0.05717,256.9028552439164,117.45306264854898,-42.60909707649351,256.901390429991,-8.259561966327993
GW191204_171526,15.5176,-61.750651,135.813303,eRASS1,2020-06-10 16:18:49.974,+188d 23h 3m 24.0s,119.25724070164489d,105274,0.05717,256.9028552439164,117.45306264854898,-42.60909707649351,256.901390429991,-8.259561966327993
GW191204_171526,15.5176,-61.750651,135.813303,eRASS1,2020-06-10 20:18:49.974,+189d 3h 3m 24.0s,119.25724070164489d,105274,0.05717,256.9028552439164,117.45306264854898,-42.60909707649351,256.901390429991,-8.259561966327993
GW191204_171526,15.5176,-61.750651,135.813303,eRASS1,2020-06-11 00:18:49.974,+189d 7h 3m 24.0s,119.25724070164489d,105274,0.05717,256.9028552439164,117.45306264854898,-42.60909707649351,256.901390429991,-8.259561966327993
