#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-12T03:28:45 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-12T03:28:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/284/snrs&-out=SNR,RAJ2000,DEJ2000,MajDiam,MinDiam&-out.max=1000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7284
#Name: VII/284
#Title: A Catalogue of Galactic Supernova Remnants (Green, 2019)
#INFO	ivoid=ivo://cds.vizier/vii/284	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/284	    IVOID of underlying data collection
#INFO	creator=Green D.A.	    First author or institution
#INFO	cites=bibcode:2019JApA...40...36G	    Article or Data origin sources
#INFO	journal=JApA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/284	    Dataset landing page
#INFO	publication_date=2025-02-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_284_snrs:
#Name: VII/284/snrs
#Title: Supernova Remnant catalogue
#Column	SNR	(A11)	*Supernova Remnant designation	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000 hours	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination J2000 degrees	[ucd=pos.eq.dec;meta.main]
#Column	MajDiam	(F5.1)	Major Angular Size of remnant	[ucd=phys.angSize]
#Column	MinDiam	(F5.1)	? Minor Angular Size of remnant	[ucd=phys.angSize]
SNR	RAJ2000	DEJ2000	MajDiam	MinDiam
G074.0-08.5	20 51 00	+30 40	230.0	160.0
G074.9+01.2	20 16 02	+37 12	  8.0	  6.0
G076.9+01.0	20 22 20	+38 43	  9.0	
G078.2+02.1	20 20 50	+40 26	 60.0	
G082.2+05.3	20 19 00	+45 30	 95.0	 65.0
G083.0-00.3	20 46 55	+42 52	  9.0	  7.0
G084.2-00.8	20 53 20	+43 27	 20.0	 16.0
G085.4+00.7	20 50 40	+45 22	 24.0	
G085.9-00.6	20 58 40	+44 53	 24.0	
G089.0+04.7	20 45 00	+50 35	120.0	 90.0
G093.3+06.9	20 52 25	+55 21	 27.0	 20.0
G093.7-00.2	21 29 20	+50 50	 80.0	
G094.0+01.0	21 24 50	+51 53	 30.0	 25.0
G096.0+02.0	21 30 30	+53 59	 26.0	
G106.3+02.7	22 27 30	+60 50	 60.0	 24.0
G108.2-00.6	22 53 40	+58 50	 70.0	 54.0
G109.1-01.0	23 01 35	+58 53	 28.0	
G111.7-02.1	23 23 26	+58 48	  5.0	
G113.0+00.2	23 26 50	+61 26	 40.0	 17.0
G114.3+00.3	23 37 00	+61 55	 90.0	 55.0
G116.5+01.1	23 53 40	+63 15	 80.0	 60.0
G116.9+00.2	23 59 10	+62 26	 34.0	
G119.5+10.2	00 06 40	+72 45	 90.0	
G120.1+01.4	00 25 18	+64 09	  8.0	
G126.2+01.6	01 22 00	+64 15	 70.0	
G127.1+00.5	01 28 20	+63 10	 45.0	
G130.7+03.1	02 05 41	+64 49	  9.0	  5.0
G132.7+01.3	02 17 40	+62 45	 80.0	
G150.3+04.5	04 27 00	+55 28	180.0	150.0
G152.4-02.1	04 07 50	+49 11	100.0	 95.0
G156.2+05.7	04 58 40	+51 50	110.0	
G159.6+07.3	05 20 00	+50 00	240.0	180.0
G160.9+02.6	05 01 00	+46 40	140.0	120.0
G166.0+04.3	05 26 30	+42 56	 55.0	 35.0
G178.2-04.2	05 25 05	+28 11	 72.0	 62.0
G179.0+02.6	05 53 40	+31 05	 70.0	
G180.0-01.7	05 39 00	+27 50	180.0	
G181.1+09.5	06 26 40	+32 30	 74.0	
G182.4+04.3	06 08 10	+29 00	 50.0	
G184.6-05.8	05 34 31	+22 01	  7.0	  5.0
G189.1+03.0	06 17 00	+22 34	 45.0	
G190.9-02.2	06 01 55	+18 24	 70.0	 60.0
G205.5+00.5	06 39 00	+06 30	220.0	
G206.9+02.3	06 48 40	+06 26	 60.0	 40.0
G213.0-00.6	06 50 50	-00 30	160.0	140.0
G260.4-03.4	08 22 10	-43 00	 60.0	 50.0
G261.9+05.5	09 04 20	-38 42	 40.0	 30.0
G263.9-03.3	08 34 00	-45 50	255.0	
G266.2-01.2	08 52 00	-46 20	120.0	
G272.2-03.2	09 06 50	-52 07	 15.0	
G279.0+01.1	09 57 40	-53 15	 95.0	
G284.3-01.8	10 18 15	-59 00	 24.0	
G286.5-01.2	10 35 40	-59 42	 26.0	  6.0
G289.7-00.3	11 01 15	-60 18	 18.0	 14.0
G290.1-00.8	11 03 05	-60 56	 19.0	 14.0
G291.0-00.1	11 11 54	-60 38	 15.0	 13.0
G292.0+01.8	11 24 36	-59 16	 12.0	  8.0
G292.2-00.5	11 19 20	-61 28	 20.0	 15.0
G293.8+00.6	11 35 00	-60 54	 20.0	
G294.1-00.0	11 36 10	-61 38	 40.0	
G296.1-00.5	11 51 10	-62 34	 37.0	 25.0
G296.5+10.0	12 09 40	-52 25	 90.0	 65.0
G296.7-00.9	11 55 30	-63 08	 15.0	  8.0
G296.8-00.3	11 58 30	-62 35	 20.0	 14.0
G298.5-00.3	12 12 40	-62 52	  5.0	
G298.6-00.0	12 13 41	-62 37	 12.0	  9.0
G299.2-02.9	12 15 13	-65 30	 18.0	 11.0
G299.6-00.5	12 21 45	-63 09	 13.0	
G301.4-01.0	12 37 55	-63 49	 37.0	 23.0
G302.3+00.7	12 45 55	-62 08	 17.0	
G304.6+00.1	13 05 59	-62 42	  8.0	
G306.3-00.9	13 21 50	-63 34	  4.0	
G308.1-00.7	13 37 37	-63 04	 13.0	
G308.4-01.4	13 41 30	-63 44	 12.0	  6.0
G308.8-00.1	13 42 30	-62 23	 30.0	 20.0
G309.2-00.6	13 46 31	-62 54	 15.0	 12.0
G309.8+00.0	13 50 30	-62 05	 25.0	 19.0
G310.6-01.6	14 00 45	-63 26	  2.5	
G310.6-00.3	13 58 00	-62 09	  8.0	
G310.8-00.4	14 00 00	-62 17	 12.0	
G311.5-00.3	14 05 38	-61 58	  5.0	
G312.4-00.4	14 13 00	-61 44	 38.0	
G312.5-03.0	14 21 00	-64 12	 20.0	 18.0
G315.1+02.7	14 24 30	-57 50	190.0	150.0
G315.4-02.3	14 43 00	-62 30	 42.0	
G315.4-00.3	14 35 55	-60 36	 24.0	 13.0
G315.9-00.0	14 38 25	-60 11	 25.0	 14.0
G316.3-00.0	14 41 30	-60 00	 29.0	 14.0
G317.3-00.2	14 49 40	-59 46	 11.0	
G318.2+00.1	14 54 50	-59 04	 40.0	 35.0
G318.9+00.4	14 58 30	-58 29	 30.0	 14.0
G320.4-01.2	15 14 30	-59 08	 35.0	
G320.6-01.6	15 17 50	-59 16	 60.0	 30.0
G321.9-01.1	15 23 45	-58 13	 28.0	
G321.9-00.3	15 20 40	-57 34	 31.0	 23.0
G322.1+00.0	15 20 49	-57 10	  8.0	  4.5
G322.5-00.1	15 23 23	-57 06	 15.0	
G323.5+00.1	15 28 42	-56 21	 13.0	
G323.7-01.0	15 34 30	-57 12	 51.0	 38.0
G326.3-01.8	15 53 00	-56 10	 38.0	
G327.1-01.1	15 54 25	-55 09	 18.0	
G327.2-00.1	15 50 55	-54 18	  5.0	
G327.4+00.4	15 48 20	-53 49	 21.0	
G327.4+01.0	15 46 48	-53 20	 14.0	
G327.6+14.6	15 02 50	-41 56	 30.0	
G328.4+00.2	15 55 30	-53 17	  5.0	
G329.7+00.4	16 01 20	-52 18	 40.0	 33.0
G330.0+15.0	15 10 00	-40 00	180.0	
G330.2+01.0	16 01 06	-51 34	 11.0	
G332.0+00.2	16 13 17	-50 53	 12.0	
G332.4-00.4	16 17 33	-51 02	 10.0	
G332.4+00.1	16 15 20	-50 42	 15.0	
G332.5-05.6	16 43 20	-54 30	 35.0	
G335.2+00.1	16 27 45	-48 47	 21.0	
G336.7+00.5	16 32 11	-47 19	 14.0	 10.0
G337.0-00.1	16 35 57	-47 36	  1.5	
G337.2-00.7	16 39 28	-47 51	  6.0	
G337.2+00.1	16 35 55	-47 20	  3.0	  2.0
G337.3+01.0	16 32 39	-46 36	 15.0	 12.0
G337.8-00.1	16 39 01	-46 59	  9.0	  6.0
G338.1+00.4	16 37 59	-46 24	 15.0	
G338.3-00.0	16 41 00	-46 34	  8.0	
G338.5+00.1	16 41 09	-46 19	  9.0	
G340.4+00.4	16 46 31	-44 39	 10.0	  7.0
G340.6+00.3	16 47 41	-44 34	  6.0	
G341.2+00.9	16 47 35	-43 47	 22.0	 16.0
G341.9-00.3	16 55 01	-44 01	  7.0	
G342.0-00.2	16 54 50	-43 53	 12.0	  9.0
G342.1+00.9	16 50 43	-43 04	 10.0	  9.0
G343.0-06.0	17 25 00	-46 30	250.0	
G343.1-02.3	17 08 00	-44 16	 32.0	
G343.1-00.7	17 00 25	-43 14	 27.0	 21.0
G344.7-00.1	17 03 51	-41 42	  8.0	
G345.7-00.2	17 07 20	-40 53	  6.0	
G346.6-00.2	17 10 19	-40 11	  8.0	
G347.3-00.5	17 13 50	-39 45	 65.0	 55.0
G348.5-00.0	17 15 26	-38 28	 10.0	
G348.5+00.1	17 14 06	-38 32	 15.0	
G348.7+00.3	17 13 55	-38 11	 17.0	
G349.2-00.1	17 17 15	-38 04	  9.0	  6.0
G349.7+00.2	17 17 59	-37 26	  2.5	  2.0
G350.0-02.0	17 27 50	-38 32	 45.0	
G350.1-00.3	17 21 05	-37 27	  4.0	
G351.0-05.4	17 46 00	-39 25	 30.0	
G351.2+00.1	17 22 27	-36 11	  7.0	
G351.7+00.8	17 21 00	-35 27	 18.0	 14.0
G351.9-00.9	17 28 52	-36 16	 12.0	  9.0
G352.7-00.1	17 27 40	-35 07	  8.0	  6.0
G353.6-00.7	17 32 00	-34 44	 30.0	
G353.9-02.0	17 38 55	-35 11	 13.0	
G354.1+00.1	17 30 28	-33 46	 15.0	  3.0
G354.8-00.8	17 36 00	-33 42	 19.0	
G355.4+00.7	17 31 20	-32 26	 25.0	
G355.6-00.0	17 35 16	-32 38	  8.0	  6.0
G355.9-02.5	17 45 53	-33 43	 13.0	
G356.2+04.5	17 19 00	-29 40	 25.0	
G356.3-01.5	17 42 35	-32 52	 20.0	 15.0
G356.3-00.3	17 37 56	-32 16	 11.0	  7.0
G357.7-00.1	17 40 29	-30 58	  8.0	  3.0
G357.7+00.3	17 38 35	-30 44	 24.0	
G358.0+03.8	17 26 00	-28 36	 38.0	
G358.1+01.0	17 37 00	-29 59	 20.0	
G358.5-00.9	17 46 10	-30 40	 17.0	
G359.0-00.9	17 46 50	-30 16	 23.0	
G359.1-00.5	17 45 30	-29 57	 24.0	
G359.1+00.9	17 39 36	-29 11	 12.0	 11.0

