event_name,overlap_percentage,overlap_boundary_file
GW230914_111401,38.04,x-rays E = 1.0keV/overlap_boundaries/GW230914_111401_boundary.json
GW200208_222617,37.31,x-rays E = 1.0keV/overlap_boundaries/GW200208_222617_boundary.json
GW230930_110730,36.97,x-rays E = 1.0keV/overlap_boundaries/GW230930_110730_boundary.json
GW200306_093714,36.97,x-rays E = 1.0keV/overlap_boundaries/GW200306_093714_boundary.json
GW191127_050227,36.81,x-rays E = 1.0keV/overlap_boundaries/GW191127_050227_boundary.json
GW231223_202619,36.56,x-rays E = 1.0keV/overlap_boundaries/GW231223_202619_boundary.json
GW231114_043211,36.29,x-rays E = 1.0keV/overlap_boundaries/GW231114_043211_boundary.json
GW151226,35.21,x-rays E = 1.0keV/overlap_boundaries/GW151226_boundary.json
GW230904_051013,35.0,x-rays E = 1.0keV/overlap_boundaries/GW230904_051013_boundary.json
GW190421_213856,34.81,x-rays E = 1.0keV/overlap_boundaries/GW190421_213856_boundary.json
GW190519_153544,34.13,x-rays E = 1.0keV/overlap_boundaries/GW190519_153544_boundary.json
GW230706_104333,33.41,x-rays E = 1.0keV/overlap_boundaries/GW230706_104333_boundary.json
GW191216_213338,33.2,x-rays E = 1.0keV/overlap_boundaries/GW191216_213338_boundary.json
GW200112_155838,32.67,x-rays E = 1.0keV/overlap_boundaries/GW200112_155838_boundary.json
GW191222_033537,32.52,x-rays E = 1.0keV/overlap_boundaries/GW191222_033537_boundary.json
GW200128_022011,31.6,x-rays E = 1.0keV/overlap_boundaries/GW200128_022011_boundary.json
GW231119_075248,31.25,x-rays E = 1.0keV/overlap_boundaries/GW231119_075248_boundary.json
GW240104_164932,30.98,x-rays E = 1.0keV/overlap_boundaries/GW240104_164932_boundary.json
GW231129_081745,30.94,x-rays E = 1.0keV/overlap_boundaries/GW231129_081745_boundary.json
GW200216_220804,30.78,x-rays E = 1.0keV/overlap_boundaries/GW200216_220804_boundary.json
GW231001_140220,30.63,x-rays E = 1.0keV/overlap_boundaries/GW231001_140220_boundary.json
GW231005_091549,29.64,x-rays E = 1.0keV/overlap_boundaries/GW231005_091549_boundary.json
GW200322_091133,29.26,x-rays E = 1.0keV/overlap_boundaries/GW200322_091133_boundary.json
GW230709_122727,29.11,x-rays E = 1.0keV/overlap_boundaries/GW230709_122727_boundary.json
GW230819_171910,29.08,x-rays E = 1.0keV/overlap_boundaries/GW230819_171910_boundary.json
GW231224_024321,28.84,x-rays E = 1.0keV/overlap_boundaries/GW231224_024321_boundary.json
GW231110_040320,28.51,x-rays E = 1.0keV/overlap_boundaries/GW231110_040320_boundary.json
GW190731_140936,28.03,x-rays E = 1.0keV/overlap_boundaries/GW190731_140936_boundary.json
GW231118_071402,27.91,x-rays E = 1.0keV/overlap_boundaries/GW231118_071402_boundary.json
GW230606_004305,27.2,x-rays E = 1.0keV/overlap_boundaries/GW230606_004305_boundary.json
GW190426_190642,27.19,x-rays E = 1.0keV/overlap_boundaries/GW190426_190642_boundary.json
GW231223_032836,27.18,x-rays E = 1.0keV/overlap_boundaries/GW231223_032836_boundary.json
GW230630_125806,27.08,x-rays E = 1.0keV/overlap_boundaries/GW230630_125806_boundary.json
GW231230_170116,27.02,x-rays E = 1.0keV/overlap_boundaries/GW231230_170116_boundary.json
GW231102_071736,26.92,x-rays E = 1.0keV/overlap_boundaries/GW231102_071736_boundary.json
GW231008_142521,26.41,x-rays E = 1.0keV/overlap_boundaries/GW231008_142521_boundary.json
GW240107_013215,26.03,x-rays E = 1.0keV/overlap_boundaries/GW240107_013215_boundary.json
GW230927_153832,26.01,x-rays E = 1.0keV/overlap_boundaries/GW230927_153832_boundary.json
GW230707_124047,25.52,x-rays E = 1.0keV/overlap_boundaries/GW230707_124047_boundary.json
GW230601_224134,24.93,x-rays E = 1.0keV/overlap_boundaries/GW230601_224134_boundary.json
GW230704_212616,23.89,x-rays E = 1.0keV/overlap_boundaries/GW230704_212616_boundary.json
GW200220_124850,23.75,x-rays E = 1.0keV/overlap_boundaries/GW200220_124850_boundary.json
GW230814_061920,22.18,x-rays E = 1.0keV/overlap_boundaries/GW230814_061920_boundary.json
GW190925_232845,22.02,x-rays E = 1.0keV/overlap_boundaries/GW190925_232845_boundary.json
GW230919_215712,21.71,x-rays E = 1.0keV/overlap_boundaries/GW230919_215712_boundary.json
GW230726_002940,21.15,x-rays E = 1.0keV/overlap_boundaries/GW230726_002940_boundary.json
GW190514_065416,20.93,x-rays E = 1.0keV/overlap_boundaries/GW190514_065416_boundary.json
GW230806_204041,20.72,x-rays E = 1.0keV/overlap_boundaries/GW230806_204041_boundary.json
GW231231_154016,20.63,x-rays E = 1.0keV/overlap_boundaries/GW231231_154016_boundary.json
GW200225_060421,20.47,x-rays E = 1.0keV/overlap_boundaries/GW200225_060421_boundary.json
GW231127_165300,20.28,x-rays E = 1.0keV/overlap_boundaries/GW231127_165300_boundary.json
GW191204_171526,19.84,x-rays E = 1.0keV/overlap_boundaries/GW191204_171526_boundary.json
GW170729,19.03,x-rays E = 1.0keV/overlap_boundaries/GW170729_boundary.json
GW230814_230901,18.93,x-rays E = 1.0keV/overlap_boundaries/GW230814_230901_boundary.json
GW231113_200417,18.89,x-rays E = 1.0keV/overlap_boundaries/GW231113_200417_boundary.json
GW230911_195324,18.84,x-rays E = 1.0keV/overlap_boundaries/GW230911_195324_boundary.json
GW230928_215827,18.57,x-rays E = 1.0keV/overlap_boundaries/GW230928_215827_boundary.json
GW230704_021211,17.91,x-rays E = 1.0keV/overlap_boundaries/GW230704_021211_boundary.json
GW190620_030421,17.8,x-rays E = 1.0keV/overlap_boundaries/GW190620_030421_boundary.json
GW200220_061928,16.75,x-rays E = 1.0keV/overlap_boundaries/GW200220_061928_boundary.json
GW191103_012549,16.41,x-rays E = 1.0keV/overlap_boundaries/GW191103_012549_boundary.json
GW191204_110529,16.19,x-rays E = 1.0keV/overlap_boundaries/GW191204_110529_boundary.json
GW230708_053705,15.84,x-rays E = 1.0keV/overlap_boundaries/GW230708_053705_boundary.json
GW231221_135041,15.83,x-rays E = 1.0keV/overlap_boundaries/GW231221_135041_boundary.json
GW200129_065458,14.88,x-rays E = 1.0keV/overlap_boundaries/GW200129_065458_boundary.json
GW170608,14.5,x-rays E = 1.0keV/overlap_boundaries/GW170608_boundary.json
GW191126_115259,14.07,x-rays E = 1.0keV/overlap_boundaries/GW191126_115259_boundary.json
GW230712_090405,14.06,x-rays E = 1.0keV/overlap_boundaries/GW230712_090405_boundary.json
GW190602_175927,13.5,x-rays E = 1.0keV/overlap_boundaries/GW190602_175927_boundary.json
GW231020_142947,13.38,x-rays E = 1.0keV/overlap_boundaries/GW231020_142947_boundary.json
GW231108_125142,12.71,x-rays E = 1.0keV/overlap_boundaries/GW231108_125142_boundary.json
GW190413_134308,12.03,x-rays E = 1.0keV/overlap_boundaries/GW190413_134308_boundary.json
GW230630_234532,10.87,x-rays E = 1.0keV/overlap_boundaries/GW230630_234532_boundary.json
GW231213_111417,9.57,x-rays E = 1.0keV/overlap_boundaries/GW231213_111417_boundary.json
GW170104,9.16,x-rays E = 1.0keV/overlap_boundaries/GW170104_boundary.json
GW190527_092055,8.56,x-rays E = 1.0keV/overlap_boundaries/GW190527_092055_boundary.json
GW190728_064510,8.35,x-rays E = 1.0keV/overlap_boundaries/GW190728_064510_boundary.json
GW231104_133418,7.17,x-rays E = 1.0keV/overlap_boundaries/GW231104_133418_boundary.json
GW231226_101520,5.81,x-rays E = 1.0keV/overlap_boundaries/GW231226_101520_boundary.json
GW190403_051519,5.6,x-rays E = 1.0keV/overlap_boundaries/GW190403_051519_boundary.json
GW191230_180458,5.3,x-rays E = 1.0keV/overlap_boundaries/GW191230_180458_boundary.json
GW190706_222641,4.61,x-rays E = 1.0keV/overlap_boundaries/GW190706_222641_boundary.json
GW230627_015337,3.37,x-rays E = 1.0keV/overlap_boundaries/GW230627_015337_boundary.json
GW190708_232457,2.9,x-rays E = 1.0keV/overlap_boundaries/GW190708_232457_boundary.json
GW191129_134029,2.33,x-rays E = 1.0keV/overlap_boundaries/GW191129_134029_boundary.json
GW231028_153006,1.79,x-rays E = 1.0keV/overlap_boundaries/GW231028_153006_boundary.json
GW190719_215514,1.33,x-rays E = 1.0keV/overlap_boundaries/GW190719_215514_boundary.json
GW230628_231200,1.15,x-rays E = 1.0keV/overlap_boundaries/GW230628_231200_boundary.json
GW230731_215307,0.45,x-rays E = 1.0keV/overlap_boundaries/GW230731_215307_boundary.json
GW190630_185205,0.38,x-rays E = 1.0keV/overlap_boundaries/GW190630_185205_boundary.json
GW190521,0.24,x-rays E = 1.0keV/overlap_boundaries/GW190521_boundary.json
GW190916_200658,0.1,x-rays E = 1.0keV/overlap_boundaries/GW190916_200658_boundary.json
GW231123_135430,0.04,x-rays E = 1.0keV/overlap_boundaries/GW231123_135430_boundary.json
GW170809,0.01,x-rays E = 1.0keV/overlap_boundaries/GW170809_boundary.json
GW200209_085452,0.01,x-rays E = 1.0keV/overlap_boundaries/GW200209_085452_boundary.json
GW191105_143521,0.01,x-rays E = 1.0keV/overlap_boundaries/GW191105_143521_boundary.json
GW190503_185404,0.01,x-rays E = 1.0keV/overlap_boundaries/GW190503_185404_boundary.json
GW190805_211137,0.0,x-rays E = 1.0keV/overlap_boundaries/GW190805_211137_boundary.json
GW200202_154313,0.0,x-rays E = 1.0keV/overlap_boundaries/GW200202_154313_boundary.json
GW231206_233901,0.0,x-rays E = 1.0keV/overlap_boundaries/GW231206_233901_boundary.json
GW190924_021846,0.0,x-rays E = 1.0keV/overlap_boundaries/GW190924_021846_boundary.json
GW170818,0.0,x-rays E = 1.0keV/overlap_boundaries/GW170818_boundary.json
GW190701_203306,0.0,x-rays E = 1.0keV/overlap_boundaries/GW190701_203306_boundary.json
GW200224_222234,0.0,x-rays E = 1.0keV/overlap_boundaries/GW200224_222234_boundary.json
GW190413_052954,0.0,x-rays E = 1.0keV/overlap_boundaries/GW190413_052954_boundary.json
GW170814,0.0,x-rays E = 1.0keV/overlap_boundaries/GW170814_boundary.json
GW230922_020344,0.0,x-rays E = 1.0keV/overlap_boundaries/GW230922_020344_boundary.json
GW200311_115853,0.0,x-rays E = 1.0keV/overlap_boundaries/GW200311_115853_boundary.json
GW190915_235702,0.0,x-rays E = 1.0keV/overlap_boundaries/GW190915_235702_boundary.json
GW190412,0.0,x-rays E = 1.0keV/overlap_boundaries/GW190412_boundary.json
GW200219_094415,0.0,x-rays E = 1.0keV/overlap_boundaries/GW200219_094415_boundary.json
